employee_id,station_id
11,1
12,2
13,3
14,4
15,5
16,6
17,7
18,8
19,9
20,10
22,12
23,13
24,14
25,15
26,16
27,17
28,18
29,19
30,20
31,21
32,22
33,23
34,24
35,25
36,26
37,27
38,28
39,29
40,30
41,31
42,32
43,33
44,34
45,35
46,36
47,37
48,38
49,39
50,40
51,41
52,42
53,43
54,44
55,45
56,46
57,47
58,48
59,49
60,50
61,51
62,52
63,53
64,54
65,55
66,56
67,57
68,58
69,59
70,60
71,61
72,62
73,63
74,64
75,65
76,66
77,67
78,68
79,69
80,70
81,71
82,72
83,73
84,74
85,75
86,76
87,77
88,78
89,79
90,80
91,81
92,82
93,83
94,84
95,85
96,86
97,87
98,88
99,89
100,90
101,91
102,92
103,93
104,94
105,95
106,96
107,97
108,98
109,99
110,100
111,101
112,102
113,104
114,105
115,106
116,107
117,108
118,109
119,110
120,111
121,112
122,113
123,114
124,115
125,116
126,117
127,118
128,119
129,120
130,121
131,122
132,123
133,124
134,125
135,126
136,127
137,128
138,129
139,130
140,131
141,132
142,133
143,134
144,135
145,136
146,137
147,138
148,139
149,140
150,141
151,142
152,143
153,144
154,145
155,146
156,147
157,148
158,149
159,150
160,151
161,152
162,153
163,154
164,155
165,156
166,157
167,158
168,161
169,180
170,181
171,182
172,183
173,184
174,185
175,186
176,187
177,188
178,189
179,190
180,191
181,192
182,193
183,194
184,195
185,196
186,197
187,198
188,199
189,200
190,201
191,202
192,203
193,204
194,205
195,206
196,207
197,208
198,209
199,210
200,211
201,212
202,213
203,214
204,231
205,232
206,233
207,234
208,235
209,236
210,237
211,238
212,239
213,240
214,241
215,243
216,244
217,245
218,246
219,247
220,248
221,249
222,250
223,251
224,252
225,253
226,254
227,255
228,256
229,257
230,258
231,259
232,260
233,261
234,262
235,263
236,264
237,265
238,266
239,267
240,268
241,269
242,270
243,271
244,272
245,273
246,274
247,275
248,276
249,277
250,278
251,279
252,280
253,281
254,282
255,283
256,284
257,285
258,286
259,287
260,288
261,289
262,290
263,291
264,292
265,293
266,294
267,295
268,296
269,297
270,298
271,299
272,302
273,303
274,304
275,305
276,306
277,307
278,308
279,309
280,310
281,311
282,312
283,313
284,314
285,315
286,316
287,317
288,318
289,319
290,320
291,321
292,322
293,323
294,324
295,325
296,326
297,327
298,328
299,329
300,330
301,331
302,332
303,333
304,334
305,335
306,336
307,337
308,338
309,339
310,340
311,341
312,342
313,343
314,344
315,345
316,346
317,347
318,348
319,349
320,350
321,351
322,352
323,353
324,354
325,355
326,356
327,357
328,358
329,359
330,360
331,361
332,362
333,363
334,364
335,365
336,366
337,367
338,368
339,369
340,370
341,371
342,372
343,373
344,374
345,375
346,376
347,377
348,378
349,379
350,380
351,381
352,382
353,383
354,384
355,385
356,386
357,387
358,388
359,389
360,390
361,391
362,392
363,393
364,394
365,395
366,396
367,397
368,398
369,400
370,401
371,402
372,403
373,404
374,405
375,406
376,407
377,408
378,409
379,410
380,411
381,412
382,413
383,414
384,415
385,416
386,417
387,418
388,419
389,420
390,421
391,422
392,423
393,424
394,425
395,426
396,427
397,428
398,439
399,442
400,443
401,444
402,445
403,446
404,447
405,448
406,449
407,450
408,451
409,452
410,453
411,454
412,455
413,456
414,457
415,458
416,459
417,460
418,461
419,462
420,463
421,464
422,465
423,466
424,467
425,468
426,469
427,470
428,471
429,472
430,473
431,474
432,475
433,476
434,477
435,478
436,479
437,480
438,481
439,482
440,483
441,484
442,485
443,486
444,487
445,488
446,489
447,490
448,491
449,492
450,493
451,494
452,495
453,496
454,497
455,498
456,499
457,518
458,519
459,520
460,521
461,522
462,523
463,524
464,525
465,526
466,527
467,528
468,529
469,530
470,531
471,532
472,533
473,534
474,535
475,536
476,537
477,541
478,542
479,543
480,544
481,545
482,546
483,547
484,548
485,549
486,550
487,551
488,552
489,553
490,554
491,556
492,557
493,558
670,1
671,2
672,3
673,4
674,5
675,6
676,7
677,8
678,9
679,10
680,11
681,12
682,13
683,14
684,15
685,16
686,17
687,18
688,19
689,20
690,21
691,22
692,23
693,24
694,25
695,26
696,27
697,28
698,29
699,30
700,31
701,32
702,33
703,34
704,35
705,36
706,37
707,38
708,39
709,40
710,41
711,42
712,43
713,44
714,45
715,46
716,47
717,48
718,49
719,50
720,51
721,52
722,53
723,54
724,55
725,56
726,57
727,58
728,59
729,60
730,61
731,62
732,63
733,64
734,65
735,66
736,67
737,68
738,69
739,70
740,71
741,72
742,73
743,74
744,75
745,76
746,77
747,78
748,79
749,80
750,81
751,82
752,83
753,84
754,85
755,86
756,87
757,88
758,89
759,90
760,91
761,92
762,93
763,94
764,95
765,96
766,97
767,98
768,99
769,100
770,101
771,102
772,104
773,105
774,106
775,107
776,108
777,109
778,110
779,111
780,112
781,113
782,114
783,115
784,116
785,117
786,118
787,119
788,120
789,121
790,122
791,123
792,124
793,125
794,126
795,127
796,128
797,129
798,130
799,131
800,132
801,133
802,134
803,135
804,136
805,137
806,138
807,139
808,140
809,141
810,142
811,143
812,144
813,145
814,146
815,147
816,148
817,149
818,150
819,151
820,152
821,153
822,154
823,155
824,156
825,157
826,158
827,161
828,180
829,181
830,182
831,183
832,184
833,185
834,186
835,187
836,188
837,189
838,190
839,191
840,192
841,193
842,194
843,195
844,196
845,197
846,198
847,199
848,200
849,201
850,202
851,203
852,204
853,205
854,206
855,207
856,208
857,209
858,210
859,211
860,212
861,213
862,214
863,231
864,232
865,233
866,234
867,235
868,236
869,237
870,238
871,239
872,240
873,241
874,243
875,244
876,245
877,246
878,247
879,248
880,249
881,250
882,251
883,252
884,253
885,254
886,255
887,256
888,257
889,258
890,259
891,260
892,261
893,262
894,263
895,264
896,265
897,266
898,267
899,268
900,269
901,270
902,271
903,272
904,273
905,274
906,275
907,276
908,277
909,278
910,279
911,280
912,281
913,282
914,283
915,284
916,285
917,286
918,287
919,288
920,289
921,290
922,291
923,292
924,293
925,294
926,295
927,296
928,297
929,298
930,299
931,302
932,303
933,304
934,305
935,306
936,307
937,308
938,309
939,310
940,311
941,312
942,313
943,314
944,315
945,316
946,317
947,318
948,319
949,320
950,321
951,322
952,323
953,324
954,325
955,326
956,327
957,328
958,329
959,330
960,331
961,332
962,333
963,334
964,335
965,336
966,337
967,338
968,339
969,340
970,341
971,342
972,343
973,344
974,345
975,346
976,347
977,348
978,349
979,350
980,351
981,352
982,353
983,354
984,355
985,356
986,357
987,358
988,359
989,360
990,361
991,362
992,363
993,364
994,365
995,366
996,367
997,368
998,369
999,370
1000,371
2001,372
2002,373
2003,374
2004,375
2005,376
2006,377
2007,378
2008,379
2009,380
2010,381
2011,382
2012,383
2013,384
2014,385
2015,386
2016,387
2017,388
2018,389
2019,390
2020,391
2021,392
2022,393
2023,394
2024,395
2025,396
2026,397
2027,398
2028,400
2029,401
2030,402
2031,403
2032,404
2033,405
2034,406
2035,407
2036,408
2037,409
2038,410
2039,411
2040,412
2041,413
2042,414
2043,415
2044,416
2045,417
2046,418
2047,419
2048,420
2049,421
2050,422
2051,423
2052,424
2053,425
2054,426
2055,427
2056,428
2057,439
2058,442
2059,443
2060,444
2061,445
2062,446
2063,447
2064,448
2065,449
2066,450
2067,451
2068,452
2069,453
