id,group_id,car_id,quantity
1,1,20001,53
2,1,20002,161
3,1,20003,69
4,1,20004,79
5,1,20005,188
6,1,20006,99
7,1,20007,188
8,1,20008,174
9,1,20009,187
10,1,20010,87
11,1,20011,160
12,1,20012,67
13,1,20013,150
14,1,20014,140
15,1,20015,25
16,1,20016,144
17,1,20017,169
18,1,20018,102
19,1,20019,126
20,1,20020,15
21,1,20021,63
22,1,20022,155
23,1,20023,155
24,1,20024,33
25,1,20025,198
26,1,20026,21
27,1,20027,150
28,1,20028,43
29,1,20029,10
30,1,20030,118
31,1,20031,17
32,1,20032,190
33,1,20033,137
34,1,20034,189
35,1,20035,194
36,1,20036,161
37,1,20037,41
38,1,20038,46
39,1,20039,199
40,1,20040,26
41,1,20041,84
42,1,20042,163
43,1,20043,137
44,1,20044,195
45,1,20045,183
46,1,20046,69
47,1,20047,47
48,1,20048,44
49,1,20049,112
50,1,20050,87
51,1,20051,163
52,1,20052,167
53,1,20053,48
54,1,20054,139
55,1,20055,114
56,1,20056,173
57,1,20057,38
58,1,20058,15
59,1,20059,52
60,1,20060,160
61,1,20061,195
62,1,20062,108
63,1,20063,143
64,1,20064,29
65,1,20197,23
66,1,20198,51
67,1,20199,137
68,1,20200,45
69,1,20201,21
70,1,20202,159
71,1,20203,183
72,1,20204,18
73,1,20205,50
74,1,20206,77
75,1,20207,159
76,1,20208,137
77,1,20209,93
78,1,20210,116
79,1,20211,11
80,1,20212,136
81,1,20213,181
82,1,20214,78
83,1,20215,189
84,1,20216,17
85,1,20217,187
86,1,20218,187
87,1,20219,33
88,1,20220,148
89,1,20221,145
90,1,20222,171
91,1,20223,148
92,1,20224,36
93,1,20225,37
94,1,20226,182
95,1,20227,63
96,1,20228,109
97,1,20229,98
98,1,20230,103
99,1,20231,77
100,1,20232,39
101,1,20233,157
102,1,20234,22
103,1,20235,160
104,1,20236,18
105,1,20237,16
106,1,20238,172
107,1,20239,56
108,1,20240,121
109,1,20241,154
110,1,20242,156
111,1,22221,129
112,1,22222,41
113,1,22224,45
114,2,20001,85
115,2,20002,88
116,2,20003,184
117,2,20004,80
118,2,20005,158
119,2,20006,100
120,2,20007,68
121,2,20008,27
122,2,20009,151
123,2,20010,62
124,2,20011,174
125,2,20012,21
126,2,20013,86
127,2,20014,28
128,2,20015,31
129,2,20016,76
130,2,20017,181
131,2,20018,107
132,2,20019,147
133,2,20020,196
134,2,20021,46
135,2,20022,164
136,2,20023,12
137,2,20024,180
138,2,20025,137
139,2,20026,122
140,2,20027,74
141,2,20028,161
142,2,20029,167
143,2,20030,39
144,2,20031,115
145,2,20032,26
146,2,20033,48
147,2,20034,96
148,2,20035,86
149,2,20036,18
150,2,20037,50
151,2,20038,157
152,2,20039,11
153,2,20040,91
154,2,20041,109
155,2,20042,31
156,2,20043,95
157,2,20044,112
158,2,20045,10
159,2,20046,71
160,2,20047,34
161,2,20048,92
162,2,20049,127
163,2,20050,67
164,2,20051,28
165,2,20052,168
166,2,20053,124
167,2,20054,182
168,2,20055,71
169,2,20056,56
170,2,20057,43
171,2,20058,97
172,2,20059,42
173,2,20060,48
174,2,20061,174
175,2,20062,87
176,2,20063,80
177,2,20064,95
178,2,20197,151
179,2,20198,24
180,2,20199,100
181,2,20200,42
182,2,20201,100
183,2,20202,81
184,2,20203,142
185,2,20204,19
186,2,20205,142
187,2,20206,39
188,2,20207,81
189,2,20208,101
190,2,20209,136
191,2,20210,154
192,2,20211,86
193,2,20212,169
194,2,20213,136
195,2,20214,65
196,2,20215,30
197,2,20216,131
198,2,20217,10
199,2,20218,104
200,2,20219,42
201,2,20220,22
202,2,20221,60
203,2,20222,182
204,2,20223,75
205,2,20224,146
206,2,20225,150
207,2,20226,183
208,2,20227,13
209,2,20228,83
210,2,20229,125
211,2,20230,20
212,2,20231,116
213,2,20232,172
214,2,20233,185
215,2,20234,121
216,2,20235,65
217,2,20236,29
218,2,20237,77
219,2,20238,157
220,2,20239,75
221,2,20240,12
222,2,20241,89
223,2,20242,12
224,2,22221,118
225,2,22222,149
226,2,22224,133
227,3,20001,128
228,3,20002,64
229,3,20003,128
230,3,20004,144
231,3,20005,113
232,3,20006,89
233,3,20007,25
234,3,20008,168
235,3,20009,136
236,3,20010,70
237,3,20011,92
238,3,20012,195
239,3,20013,176
240,3,20014,126
241,3,20015,64
242,3,20016,77
243,3,20017,133
244,3,20018,183
245,3,20019,190
246,3,20020,148
247,3,20021,89
248,3,20022,82
249,3,20023,48
250,3,20024,40
251,3,20025,134
252,3,20026,46
253,3,20027,131
254,3,20028,167
255,3,20029,139
256,3,20030,56
257,3,20031,97
258,3,20032,164
259,3,20033,11
260,3,20034,64
261,3,20035,14
262,3,20036,127
263,3,20037,56
264,3,20038,14
265,3,20039,76
266,3,20040,107
267,3,20041,171
268,3,20042,135
269,3,20043,18
270,3,20044,79
271,3,20045,104
272,3,20046,192
273,3,20047,150
274,3,20048,195
275,3,20049,175
276,3,20050,176
277,3,20051,177
278,3,20052,186
279,3,20053,114
280,3,20054,159
281,3,20055,28
282,3,20056,135
283,3,20057,140
284,3,20058,37
285,3,20059,101
286,3,20060,76
287,3,20061,38
288,3,20062,121
289,3,20063,15
290,3,20064,159
291,3,20197,143
292,3,20198,156
293,3,20199,44
294,3,20200,13
295,3,20201,63
296,3,20202,113
297,3,20203,77
298,3,20204,54
299,3,20205,193
300,3,20206,46
301,3,20207,32
302,3,20208,111
303,3,20209,52
304,3,20210,189
305,3,20211,183
306,3,20212,47
307,3,20213,126
308,3,20214,95
309,3,20215,103
310,3,20216,31
311,3,20217,183
312,3,20218,180
313,3,20219,35
314,3,20220,91
315,3,20221,125
316,3,20222,40
317,3,20223,110
318,3,20224,83
319,3,20225,111
320,3,20226,66
321,3,20227,185
322,3,20228,84
323,3,20229,47
324,3,20230,189
325,3,20231,47
326,3,20232,49
327,3,20233,29
328,3,20234,55
329,3,20235,80
330,3,20236,118
331,3,20237,75
332,3,20238,194
333,3,20239,51
334,3,20240,30
335,3,20241,16
336,3,20242,174
337,3,22221,33
338,3,22222,57
339,3,22224,151
340,4,20001,196
341,4,20002,138
342,4,20003,181
343,4,20004,13
344,4,20005,178
345,4,20006,158
346,4,20007,129
347,4,20008,59
348,4,20009,81
349,4,20010,170
350,4,20011,175
351,4,20012,173
352,4,20013,39
353,4,20014,159
354,4,20015,22
355,4,20016,36
356,4,20017,198
357,4,20018,82
358,4,20019,121
359,4,20020,196
360,4,20021,66
361,4,20022,166
362,4,20023,103
363,4,20024,117
364,4,20025,39
365,4,20026,39
366,4,20027,89
367,4,20028,188
368,4,20029,35
369,4,20030,41
370,4,20031,163
371,4,20032,199
372,4,20033,154
373,4,20034,191
374,4,20035,190
375,4,20036,194
376,4,20037,49
377,4,20038,94
378,4,20039,106
379,4,20040,169
380,4,20041,165
381,4,20042,84
382,4,20043,97
383,4,20044,113
384,4,20045,35
385,4,20046,60
386,4,20047,69
387,4,20048,197
388,4,20049,125
389,4,20050,103
390,4,20051,125
391,4,20052,59
392,4,20053,93
393,4,20054,73
394,4,20055,184
395,4,20056,20
396,4,20057,102
397,4,20058,119
398,4,20059,96
399,4,20060,105
400,4,20061,87
401,4,20062,145
402,4,20063,169
403,4,20064,44
404,4,20197,187
405,4,20198,110
406,4,20199,127
407,4,20200,23
408,4,20201,66
409,4,20202,129
410,4,20203,74
411,4,20204,198
412,4,20205,195
413,4,20206,120
414,4,20207,22
415,4,20208,196
416,4,20209,16
417,4,20210,117
418,4,20211,165
419,4,20212,113
420,4,20213,121
421,4,20214,48
422,4,20215,70
423,4,20216,125
424,4,20217,187
425,4,20218,182
426,4,20219,105
427,4,20220,19
428,4,20221,130
429,4,20222,152
430,4,20223,75
431,4,20224,99
432,4,20225,44
433,4,20226,88
